Year,Race,Driver,Team,Position,GridPosition,Points,Status,BestQualifyingTime,GapToPole,QualifyingPerformance,PositionChange,driver_win_rate,team_reliability,race_winner,podium_finish,points_finish
2025,18,N HULKENBERG,Kick Sauber,20.0,11.0,0.0,Lapped,89.637,0.4789999999999992,55.00000000000001,-9.0,0.0,55.55555555555556,0,0,0
2025,19,M VERSTAPPEN,Red Bull Racing,1.0,1.0,25.0,Finished,92.51,0.0,5.0,0.0,66.66666666666666,94.44444444444444,1,1,1
2025,19,L NORRIS,McLaren,2.0,2.0,18.0,Finished,92.801,0.2909999999999968,10.0,0.0,22.22222222222222,83.33333333333334,0,1,1
2025,19,C LECLERC,Ferrari,3.0,3.0,15.0,Finished,92.807,0.296999999999997,15.0,0.0,0.0,88.88888888888889,0,1,1
2025,19,L HAMILTON,Ferrari,4.0,5.0,12.0,Finished,92.912,0.402000000000001,25.0,1.0,0.0,88.88888888888889,0,0,1
2025,19,O PIASTRI,McLaren,5.0,6.0,10.0,Finished,93.084,0.5739999999999981,30.0,1.0,0.0,83.33333333333334,0,0,1
2025,19,G RUSSELL,Mercedes,6.0,4.0,8.0,Finished,92.826,0.3159999999999883,20.0,-2.0,11.11111111111111,100.0,0,0,1
2025,19,Y TSUNODA,Red Bull Racing,7.0,13.0,6.0,Finished,92.998,0.4879999999999995,65.0,6.0,0.0,94.44444444444444,0,0,1
2025,19,N HULKENBERG,Kick Sauber,8.0,11.0,4.0,Finished,92.998,0.4879999999999995,55.00000000000001,3.0,0.0,55.55555555555556,0,0,1
2025,19,O BEARMAN,Haas F1 Team,9.0,8.0,2.0,Finished,93.139,0.6289999999999907,40.0,-1.0,0.0,77.77777777777779,0,0,1
2025,19,F ALONSO,Aston Martin,10.0,10.0,1.0,Finished,93.16,0.6499999999999915,50.0,0.0,0.0,61.111111111111114,0,0,1
2025,19,L LAWSON,Racing Bulls,11.0,12.0,0.0,Finished,92.998,0.4879999999999995,60.0,1.0,0.0,55.55555555555556,0,0,0
2025,19,L STROLL,Aston Martin,12.0,19.0,0.0,Finished,92.998,0.4879999999999995,90.0,7.0,0.0,61.111111111111114,0,0,0
2025,19,K ANTONELLI,Mercedes,13.0,7.0,0.0,Finished,93.044,0.5339999999999918,35.0,-6.0,0.0,100.0,0,0,0
2025,19,A ALBON,Williams,14.0,18.0,0.0,Finished,92.998,0.4879999999999995,95.0,4.0,0.0,66.66666666666666,0,0,0
2025,19,E OCON,Haas F1 Team,15.0,17.0,0.0,Finished,92.998,0.4879999999999995,85.0,2.0,0.0,77.77777777777779,0,0,0
2025,19,I HADJAR,Racing Bulls,16.0,20.0,0.0,Finished,92.998,0.4879999999999995,100.0,4.0,0.0,55.55555555555556,0,0,0
2025,19,F COLAPINTO,Alpine,17.0,15.0,0.0,Lapped,92.998,0.4879999999999995,75.0,-2.0,0.0,16.666666666666664,0,0,0
2025,19,G BORTOLETO,Kick Sauber,18.0,16.0,0.0,Lapped,92.998,0.4879999999999995,80.0,-2.0,0.0,55.55555555555556,0,0,0
2025,19,P GASLY,Alpine,19.0,14.0,0.0,Lapped,92.998,0.4879999999999995,70.0,-5.0,0.0,16.666666666666664,0,0,0
2025,19,C SAINZ,Williams,20.0,9.0,0.0,Retired,93.124,0.6139999999999901,45.0,-11.0,0.0,66.66666666666666,0,0,0
2025,20,L NORRIS,McLaren,1.0,1.0,25.0,Finished,75.586,0.0,5.0,0.0,22.22222222222222,83.33333333333334,1,1,1
2025,20,C LECLERC,Ferrari,2.0,2.0,18.0,Finished,75.848,0.2620000000000004,10.0,0.0,0.0,88.88888888888889,0,1,1
2025,20,M VERSTAPPEN,Red Bull Racing,3.0,5.0,15.0,Finished,76.07,0.4839999999999946,25.0,2.0,66.66666666666666,94.44444444444444,0,1,1
2025,20,O BEARMAN,Haas F1 Team,4.0,9.0,12.0,Finished,76.46,0.8739999999999952,50.0,5.0,0.0,77.77777777777779,0,0,1
2025,20,O PIASTRI,McLaren,5.0,7.0,10.0,Finished,76.174,0.5880000000000081,40.0,2.0,0.0,83.33333333333334,0,0,1
2025,20,K ANTONELLI,Mercedes,6.0,6.0,8.0,Finished,76.118,0.5319999999999965,30.0,0.0,0.0,100.0,0,0,1
2025,20,G RUSSELL,Mercedes,7.0,4.0,6.0,Finished,76.034,0.4480000000000075,20.0,-3.0,11.11111111111111,100.0,0,0,1
2025,20,L HAMILTON,Ferrari,8.0,3.0,4.0,Finished,75.938,0.3520000000000038,15.0,-5.0,0.0,88.88888888888889,0,0,1
2025,20,E OCON,Haas F1 Team,9.0,11.0,2.0,Finished,76.094,0.5079999999999956,60.0,2.0,0.0,77.77777777777779,0,0,1
2025,20,G BORTOLETO,Kick Sauber,10.0,16.0,1.0,Finished,76.094,0.5079999999999956,80.0,6.0,0.0,55.55555555555556,0,0,1
2025,20,Y TSUNODA,Red Bull Racing,11.0,10.0,0.0,Finished,76.094,0.5079999999999956,55.00000000000001,-1.0,0.0,94.44444444444444,0,0,0
2025,20,A ALBON,Williams,12.0,17.0,0.0,Lapped,76.094,0.5079999999999956,85.0,5.0,0.0,66.66666666666666,0,0,0
2025,20,I HADJAR,Racing Bulls,13.0,8.0,0.0,Lapped,76.252,0.6659999999999968,45.0,-5.0,0.0,55.55555555555556,0,0,0
2025,20,L STROLL,Aston Martin,14.0,19.0,0.0,Lapped,76.094,0.5079999999999956,95.0,5.0,0.0,61.111111111111114,0,0,0
2025,20,P GASLY,Alpine,15.0,18.0,0.0,Lapped,76.094,0.5079999999999956,90.0,3.0,0.0,16.666666666666664,0,0,0
2025,20,F COLAPINTO,Alpine,16.0,20.0,0.0,Lapped,76.094,0.5079999999999956,100.0,4.0,0.0,16.666666666666664,0,0,0
2025,20,C SAINZ,Williams,17.0,12.0,0.0,Retired,76.172,0.5859999999999985,35.0,-5.0,0.0,66.66666666666666,0,0,0
2025,20,F ALONSO,Aston Martin,18.0,14.0,0.0,Retired,76.094,0.5079999999999956,70.0,-4.0,0.0,61.111111111111114,0,0,0
2025,20,N HULKENBERG,Kick Sauber,19.0,13.0,0.0,Retired,76.094,0.5079999999999956,65.0,-6.0,0.0,55.55555555555556,0,0,0
2025,20,L LAWSON,Racing Bulls,20.0,15.0,0.0,Retired,76.094,0.5079999999999956,75.0,-5.0,0.0,55.55555555555556,0,0,0
2025,21,L NORRIS,McLaren,1.0,1.0,25.0,Finished,69.511,0.0,5.0,0.0,22.22222222222222,83.33333333333334,1,1,1
2025,21,K ANTONELLI,Mercedes,2.0,2.0,18.0,Finished,69.685,0.1740000000000066,10.0,0.0,0.0,100.0,0,1,1
2025,21,M VERSTAPPEN,Red Bull Racing,3.0,19.0,15.0,Finished,69.9365,0.4254999999999995,80.0,16.0,66.66666666666666,94.44444444444444,0,1,1
2025,21,G RUSSELL,Mercedes,4.0,6.0,12.0,Finished,69.88,0.3689999999999998,30.0,2.0,11.11111111111111,100.0,0,0,1
2025,21,O PIASTRI,McLaren,5.0,4.0,10.0,Finished,69.835,0.323999999999998,20.0,-1.0,0.0,83.33333333333334,0,0,1
2025,21,O BEARMAN,Haas F1 Team,6.0,8.0,8.0,Finished,69.755,0.2439999999999997,40.0,2.0,0.0,77.77777777777779,0,0,1
2025,21,L LAWSON,Racing Bulls,7.0,7.0,6.0,Finished,69.95,0.4390000000000071,35.0,0.0,0.0,55.55555555555556,0,0,1
2025,21,I HADJAR,Racing Bulls,8.0,5.0,4.0,Finished,69.931,0.4200000000000017,25.0,-3.0,0.0,55.55555555555556,0,0,1
2025,21,N HULKENBERG,Kick Sauber,9.0,10.0,2.0,Finished,69.985,0.4740000000000037,50.0,1.0,0.0,55.55555555555556,0,0,1
2025,21,P GASLY,Alpine,10.0,9.0,1.0,Finished,69.857,0.3460000000000036,45.0,-1.0,0.0,16.666666666666664,0,0,1
2025,21,A ALBON,Williams,11.0,12.0,0.0,Finished,69.9365,0.4254999999999995,60.0,1.0,0.0,66.66666666666666,0,0,0
2025,21,E OCON,Haas F1 Team,12.0,20.0,0.0,Finished,69.9365,0.4254999999999995,85.0,8.0,0.0,77.77777777777779,0,0,0
2025,21,C SAINZ,Williams,13.0,15.0,0.0,Finished,69.9365,0.4254999999999995,75.0,2.0,0.0,66.66666666666666,0,0,0
2025,21,F ALONSO,Aston Martin,14.0,11.0,0.0,Finished,69.9365,0.4254999999999995,55.00000000000001,-3.0,0.0,61.111111111111114,0,0,0
2025,21,F COLAPINTO,Alpine,15.0,16.0,0.0,Finished,69.9365,0.4254999999999995,90.0,1.0,0.0,16.666666666666664,0,0,0
2025,21,L STROLL,Aston Martin,16.0,14.0,0.0,Finished,69.9365,0.4254999999999995,70.0,-2.0,0.0,61.111111111111114,0,0,0
