Year,Race,Driver,Team,QualifyingPosition,Q1,Q2,Q3,Status
2025,22,F ALONSO,Aston Martin,7.0,113.739,111.865,109.466,
2025,22,I HADJAR,Racing Bulls,8.0,115.613,111.12,109.554,
2025,22,C LECLERC,Ferrari,9.0,114.814,111.952,109.872,
2025,22,P GASLY,Alpine,10.0,114.432,111.76,111.54,
2025,22,N HULKENBERG,Kick Sauber,11.0,114.555,112.781,,
2025,22,L STROLL,Aston Martin,12.0,114.416,112.85,,
2025,22,E OCON,Haas F1 Team,13.0,114.635,112.987,,
2025,22,O BEARMAN,Haas F1 Team,14.0,116.016,113.094,,
2025,22,F COLAPINTO,Alpine,15.0,114.847,113.683,,
2025,22,A ALBON,Williams,16.0,116.22,,,
2025,22,K ANTONELLI,Mercedes,17.0,116.314,,,
2025,22,G BORTOLETO,Kick Sauber,18.0,116.674,,,
2025,22,Y TSUNODA,Red Bull Racing,19.0,116.798,,,
2025,22,L HAMILTON,Ferrari,20.0,117.115,,,
2025,23,O PIASTRI,McLaren,1.0,80.234,79.65,79.387,
2025,23,L NORRIS,McLaren,2.0,80.157,79.861,79.495,
2025,23,M VERSTAPPEN,Red Bull Racing,3.0,80.472,79.985,79.651,
2025,23,G RUSSELL,Mercedes,4.0,80.074,80.186,79.662,
2025,23,K ANTONELLI,Mercedes,5.0,80.576,80.084,79.846,
2025,23,I HADJAR,Racing Bulls,6.0,80.603,80.35,80.114,
2025,23,C SAINZ,Williams,7.0,80.52,80.251,80.287,
2025,23,F ALONSO,Aston Martin,8.0,80.598,80.219,80.418,
2025,23,P GASLY,Alpine,9.0,80.681,80.324,80.477,
2025,23,C LECLERC,Ferrari,10.0,80.564,80.343,80.561,
2025,23,N HULKENBERG,Kick Sauber,11.0,80.63,80.353,,
2025,23,L LAWSON,Racing Bulls,12.0,80.539,80.433,,
2025,23,O BEARMAN,Haas F1 Team,13.0,80.548,80.438,,
2025,23,G BORTOLETO,Kick Sauber,14.0,80.653,80.534,,
