Year,Race,Driver,Team,LapNumber,LapTime_seconds,Position,TireCompound,TireAge,PositionGroup,driver_win_rate,start_position,positions_gained,tire_degradation,race_phase,team_reliability
2025,16,NOR,McLaren,18.0,83.189,2.0,MEDIUM,18.0,Top 5,0.0,2.0,0.0,-0.043000000000006366,Middle,83.33333333333334
2025,16,NOR,McLaren,19.0,83.289,2.0,MEDIUM,19.0,Top 5,0.0,2.0,0.0,0.10000000000000853,Middle,83.33333333333334
2025,16,NOR,McLaren,20.0,83.049,2.0,MEDIUM,20.0,Top 5,0.0,2.0,0.0,-0.23999999999999488,Middle,83.33333333333334
2025,16,NOR,McLaren,21.0,82.998,2.0,MEDIUM,21.0,Top 5,0.0,2.0,0.0,-0.05100000000000193,Middle,83.33333333333334
2025,16,NOR,McLaren,22.0,82.965,2.0,MEDIUM,22.0,Top 5,0.0,2.0,0.0,-0.03300000000000125,Middle,83.33333333333334
2025,16,NOR,McLaren,23.0,82.892,2.0,MEDIUM,23.0,Top 5,0.0,2.0,0.0,-0.0730000000000075,Middle,83.33333333333334
2025,16,NOR,McLaren,24.0,82.967,2.0,MEDIUM,24.0,Top 5,0.0,2.0,0.0,0.07500000000000284,Middle,83.33333333333334
2025,16,NOR,McLaren,25.0,83.082,2.0,MEDIUM,25.0,Top 5,0.0,2.0,0.0,0.11499999999999488,Middle,83.33333333333334
2025,16,NOR,McLaren,26.0,82.841,2.0,MEDIUM,26.0,Top 5,0.0,2.0,0.0,-0.24099999999999966,Middle,83.33333333333334
2025,16,NOR,McLaren,27.0,82.835,2.0,MEDIUM,27.0,Top 5,0.0,2.0,0.0,-0.006000000000000227,Middle,83.33333333333334
2025,16,NOR,McLaren,28.0,83.072,2.0,MEDIUM,28.0,Top 5,0.0,2.0,0.0,0.23700000000000898,Middle,83.33333333333334
2025,16,NOR,McLaren,29.0,82.757,2.0,MEDIUM,29.0,Top 5,0.0,2.0,0.0,-0.3149999999999977,Middle,83.33333333333334
