Year,Race,Driver,Team,QualifyingPosition,Q1,Q2,Q3,Status,BestQualifyingTime,GapToPole,QualifyingPerformance
2025,20,Y TSUNODA,Red Bull Racing,11.0,77.234,76.816,76.094,,76.094,0.5079999999999956,55.00000000000001
2025,20,E OCON,Haas F1 Team,12.0,76.948,76.837,76.094,,76.094,0.5079999999999956,60.0
2025,20,N HULKENBERG,Kick Sauber,13.0,77.251,77.016,76.094,,76.094,0.5079999999999956,65.0
2025,20,F ALONSO,Aston Martin,14.0,77.232,77.103,76.094,,76.094,0.5079999999999956,70.0
2025,20,L LAWSON,Racing Bulls,15.0,76.961,78.072,76.094,,76.094,0.5079999999999956,75.0
2025,20,G BORTOLETO,Kick Sauber,16.0,77.412,76.773,76.094,,76.094,0.5079999999999956,80.0
2025,20,A ALBON,Williams,17.0,77.49,76.773,76.094,,76.094,0.5079999999999956,85.0
2025,20,P GASLY,Alpine,18.0,77.546,76.773,76.094,,76.094,0.5079999999999956,90.0
2025,20,L STROLL,Aston Martin,19.0,77.606,76.773,76.094,,76.094,0.5079999999999956,95.0
2025,20,F COLAPINTO,Alpine,20.0,77.67,76.773,76.094,,76.094,0.5079999999999956,100.0
2025,21,L NORRIS,McLaren,1.0,69.656,69.616,69.511,,69.511,0.0,5.0
2025,21,K ANTONELLI,Mercedes,2.0,70.192,69.774,69.685,,69.685,0.1740000000000066,10.0
2025,21,C LECLERC,Ferrari,3.0,69.934,69.801,69.805,,69.801,0.29000000000000625,15.0
2025,21,O PIASTRI,McLaren,4.0,69.928,69.835,69.886,,69.835,0.32399999999999807,20.0
2025,21,I HADJAR,Racing Bulls,5.0,70.083,69.97,69.931,,69.931,0.4200000000000017,25.0
2025,21,G RUSSELL,Mercedes,6.0,69.935,69.88,69.942,,69.88,0.3689999999999998,30.0
2025,21,L LAWSON,Racing Bulls,7.0,70.108,69.95,69.962,,69.95,0.43900000000000716,35.0
2025,21,O BEARMAN,Haas F1 Team,8.0,69.891,69.755,69.977,,69.755,0.24399999999999977,40.0
2025,21,P GASLY,Alpine,9.0,69.885,69.857,70.002,,69.857,0.34600000000000364,45.0
2025,21,N HULKENBERG,Kick Sauber,10.0,70.337,69.985,70.039,,69.985,0.47400000000000375,50.0
